Year,Sex,Type,Cancer_Type,MorRate_Age_0_to_4,MorRate_Age_5_to_9,MorRate_Age_10_to_14,MorRate_Age_15_to_19,MorRate_Age_20_to_24,MorRate_Age_25_to_29,MorRate_Age_30_to_34,MorRate_Age_35_to_39,MorRate_Age_40_to_44,MorRate_Age_45_to_49,MorRate_Age_50_to_54,MorRate_Age_55_to_59,MorRate_Age_60_to_64,MorRate_Age_65_to_69,MorRate_Age_70_to_74,MorRate_Age_75_to_79,MorRate_Age_80_to_84,MorRate_Age_85+
2009,Female,Mortality,Unknown primary site,0,0,0,0,0.000510754,0.000506101,0.001069136,0.003908693,0.002077793,0.014557706,0.018664314,0.025194629,0.049152126,0.073987071,0.140051315,0.202207321,0.30745819,0.553990313
2009,Female,Mortality,Uterine cancer,0,0,0,0,0,0.000506101,0.000534568,0.000488587,0.002077793,0.007278853,0.011311705,0.015116777,0.030895622,0.037918374,0.056020526,0.060009915,0.069876861,0.096552597
2009,Persons,Mortality,Acute lymphoblastic leukaemia,0.00029269,0.000931628,0.000603803,0.002785453,0.001230403,0.000498725,0.000534918,0.000496016,0.001315963,0.000790876,0.001431402,0.000320408,0.003911681,0.001410829,0.003501012,0.004955121,0.002699735,0.002100487
2009,Persons,Mortality,Acute myeloid leukaemia,0.000585381,0.000931628,0.001509507,0.001114181,0.000984322,0.001496174,0.001337295,0.002480079,0.00315831,0.005536135,0.006584447,0.015059179,0.020980836,0.044205962,0.065352231,0.100518164,0.116988535,0.123928751
2009,Persons,Mortality,Anal cancer,0,0,0,0,0,0,0,0,0,0,0,0.000320408,0,0.000470276,0.000583502,0.000707874,0.000899912,0.002100487
2009,Persons,Mortality,Bladder cancer,0,0,0,0,0,0,0,0.000248008,0.001579155,0.002109004,0.004580485,0.007048978,0.024892518,0.035740991,0.081690289,0.104057536,0.213279099,0.327676021
2009,Persons,Mortality,Bowel cancer,0,0,0,0.000557091,0.000984322,0.001994898,0.002674591,0.007688244,0.017107514,0.025835297,0.049526492,0.085869363,0.140109314,0.202689039,0.298169554,0.416230144,0.583142852,0.837044194
2009,Persons,Mortality,Brain cancer,0.002048832,0.003415969,0.003019014,0.003621089,0.000738242,0.001994898,0.00561664,0.009424299,0.011843664,0.022935417,0.019467061,0.037487744,0.055474754,0.070071153,0.087525309,0.089192174,0.098090387,0.052512183
2009,Persons,Mortality,Breast cancer,0,0,0,0,0,0.00224426,0.005884099,0.01165637,0.025792867,0.048243463,0.074432879,0.085869363,0.114861189,0.134969267,0.158712561,0.197496956,0.281672396,0.475760376
2009,Persons,Mortality,Chronic lymphocytic leukaemia,0,0,0,0,0,0,0,0,0,0.000263625,0.001431402,0.004485713,0.006756541,0.012227181,0.025674091,0.037517343,0.059394179,0.101873635
2009,Persons,Mortality,Chronic myeloid leukaemia,0,0,0,0,0,0,0,0.000496016,0.000789578,0.000263625,0.00028628,0.000961224,0.001778037,0.001881105,0.008169029,0.008494493,0.021597883,0.035708284
2009,Persons,Mortality,Colon cancer,0,0,0,0.000557091,0.000492161,0.000748087,0.001872213,0.003968126,0.007106198,0.012917649,0.024333826,0.041332641,0.072188301,0.10628242,0.173883615,0.247048164,0.357264988,0.570282305
2009,Persons,Mortality,Head and neck excluding lip,0,0,0,0,0,0.000498725,0.000267459,0.001984063,0.006053428,0.010281394,0.0188945,0.029477543,0.044806532,0.056903419,0.089859318,0.101933913,0.088191357,0.111325828
2009,Persons,Mortality,Head and neck including lip,0,0,0,0,0,0.000498725,0.000534918,0.001984063,0.006053428,0.010545019,0.0188945,0.029477543,0.045162139,0.056903419,0.09044282,0.103349662,0.090891093,0.112376071
2009,Persons,Mortality,Hodgkin lymphoma,0,0,0.000301901,0,0.000492161,0.000997449,0.000267459,0.001240039,0.000263193,0.000263625,0.000572561,0.000961224,0,0.001881105,0.005835021,0.00637087,0.00989903,0.006301462
2009,Persons,Mortality,Kidney cancer,0.00029269,0.000931628,0.000301901,0.000278545,0,0.000249362,0.000534918,0.000496016,0.002631925,0.005536135,0.012596333,0.026914278,0.032360273,0.051260105,0.062434721,0.096270918,0.120588182,0.181692153
2009,Persons,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0.000496016,0.000789578,0.001054502,0.003721644,0.004485713,0.011379437,0.01363801,0.02275658,0.026191353,0.017998236,0.022055117
2009,Persons,Mortality,Liver cancer,0.000878071,0,0.000301901,0.000278545,0.000738242,0.000748087,0,0.001736055,0.003947888,0.01107227,0.027196629,0.036206112,0.05049625,0.0790064,0.102112861,0.148653623,0.166483685,0.180641909
2009,Persons,Mortality,Lung cancer,0,0,0,0,0,0.000997449,0.001604754,0.005208165,0.017370707,0.041389201,0.092182257,0.173340767,0.306889182,0.501784698,0.738130109,0.889798114,1.130289232,1.011384641
2009,Persons,Mortality,Melanoma of the skin,0,0.000310543,0,0,0.000984322,0.00224426,0.005349181,0.007688244,0.011580471,0.014763027,0.025192667,0.033963256,0.048362606,0.077595572,0.102112861,0.118215024,0.181782185,0.218450681
2009,Persons,Mortality,Mesothelioma,0,0,0,0,0,0,0.000267459,0.000496016,0.000263193,0.002372629,0.004007924,0.010893874,0.021336444,0.040914029,0.060100712,0.077866183,0.088191357,0.068265838
2009,Persons,Mortality,Myeloma,0,0,0,0,0,0,0.000267459,0.000496016,0.001842348,0.002109004,0.005725606,0.011534691,0.026314947,0.047027619,0.069436745,0.092023671,0.108889329,0.145983868
2009,Persons,Mortality,Non-Hodgkin lymphoma,0,0,0.000603803,0.000278545,0.000246081,0.000997449,0.001872213,0.002480079,0.002895118,0.006590637,0.010019811,0.024351013,0.032004666,0.064898115,0.106780877,0.150069372,0.224977952,0.314022853
